,model_number,Timestamp,Latitude,Longitude,Voltage,Current,State Of Charge,BM_MaxCellVolt,BM_MaxCellID,BM_MinCellVolt,Frame_numberV,BM_MinCellID,Max_monomer_temperature,Min_monomer_temperature,Charging_MOS_tube_status,Discharge_MOS_tube_status,Capacity(Ah),Charge_Discharge_cycles,isflag,date,charging_time_diff_min,zone
157100,it_350317170589794,14-06-24 22:57,19.1751599,72.8564933,47.9,15.8,31.4,2.195,1,2.169,0.026,22,37,35,1,1,11618,117,0,14-06-24,,2
157101,it_350317170589794,14-06-24 22:58,19.1751633,72.856475,48.3,23.7,32.5,2.223,1,2.182,0.041,22,37,35,1,1,12025,117,0,14-06-24,1,2
157102,it_350317170589794,14-06-24 22:59,19.1751683,72.8564533,48.4,23.8,33.6,2.227,1,2.184,0.043,22,37,35,1,1,12432,117,0,14-06-24,1,2
157103,it_350317170589794,14-06-24 23:00,19.1751866,72.8564183,48.4,24.8,34.7,2.227,1,2.187,0.04,22,37,35,1,1,12839,117,0,14-06-24,1,2
157104,it_350317170589794,14-06-24 23:01,19.1751683,72.8564216,48.5,25.6,35.8,2.229,1,2.19,0.039,22,37,35,1,1,13246,117,0,14-06-24,1,2
157105,it_350317170589794,14-06-24 23:02,19.1751366,72.8564733,48.5,25.1,36.9,2.231,1,2.193,0.038,22,37,35,1,1,13653,117,0,14-06-24,1,2
157106,it_350317170589794,14-06-24 23:03,19.1750766,72.8565316,48.6,23.9,38,2.235,1,2.195,0.04,22,37,35,1,1,14060,117,0,14-06-24,1,2
157107,it_350317170589794,14-06-24 23:04,19.175075,72.856515,48.6,25.2,39.1,2.236,1,2.197,0.039,22,37,35,1,1,14467,117,0,14-06-24,1,2
157108,it_350317170589794,14-06-24 23:05,19.1751016,72.856485,48.7,25.5,40.2,2.239,1,2.2,0.039,22,37,35,1,1,14874,117,0,14-06-24,1,2
157109,it_350317170589794,14-06-24 23:06,19.1751516,72.8564899,48.7,23.6,41.3,2.243,1,2.202,0.041,22,37,35,1,1,15281,118,0,14-06-24,1,2
157110,it_350317170589794,14-06-24 23:07,19.1751399,72.8565,48.8,23.9,42.4,2.245,1,2.204,0.041,22,37,35,1,1,15688,118,0,14-06-24,1,2
157111,it_350317170589794,14-06-24 23:08,19.1751366,72.8564983,48.8,25.1,43.5,2.246,1,2.207,0.039,22,37,35,1,1,16095,118,0,14-06-24,1,2
157112,it_350317170589794,14-06-24 23:09,19.175145,72.85652,48.9,24,44.6,2.25,1,2.208,0.042,22,37,35,1,1,16502,118,0,14-06-24,1,2
157113,it_350317170589794,14-06-24 23:10,19.1751599,72.8565249,48.9,24.2,45.7,2.252,1,2.211,0.041,22,37,35,1,1,16909,118,0,14-06-24,1,2
157114,it_350317170589794,14-06-24 23:11,19.1751633,72.8565349,49,25.6,46.8,2.252,1,2.213,0.039,22,37,35,1,1,17316,118,0,14-06-24,1,2
157115,it_350317170589794,14-06-24 23:12,19.1751683,72.8565349,49,24.2,47.9,2.257,1,2.215,0.042,22,37,35,1,1,17723,118,0,14-06-24,1,2
157116,it_350317170589794,14-06-24 23:12,19.1751883,72.8565099,49.1,25,48.4,2.254,1,2.216,0.038,22,37,35,1,1,17982,118,0,14-06-24,0.55,2
157117,it_350317170589794,14-06-24 23:13,19.1752066,72.8564899,49.1,25.6,49.5,2.258,1,2.218,0.04,22,37,35,1,1,18389,118,0,14-06-24,1,2
157118,it_350317170589794,14-06-24 23:14,19.1752133,72.856455,49.2,25.2,50.7,2.259,1,2.22,0.039,22,37,35,1,1,18759,118,0,14-06-24,1,2
157119,it_350317170589794,14-06-24 23:15,19.1752099,72.8564333,49.2,25,51.8,2.261,1,2.223,0.038,22,37,35,1,1,19166,118,0,14-06-24,1,2
157120,it_350317170589794,14-06-24 23:16,19.17523,72.8564133,49.3,25.5,52.9,2.265,1,2.225,0.04,22,37,35,1,1,19573,118,0,14-06-24,1,2
157144,it_350317170589794,14-06-24 23:40,19.1751083,72.8564883,48.7,10,54,2.227,1,2.208,0.019,22,37,35,1,1,19980,118,0,14-06-24,24.01666667,3
157145,it_350317170589794,14-06-24 23:41,19.1751133,72.8564766,49.4,26.9,55,2.27,1,2.228,0.042,22,37,35,1,1,20387,118,0,14-06-24,1,3
157146,it_350317170589794,14-06-24 23:42,19.175115,72.8564733,49.4,26.2,56.1,2.272,1,2.231,0.041,22,37,35,1,1,20831,118,0,14-06-24,1,3
157147,it_350317170589794,14-06-24 23:43,19.17512,72.8564716,49.5,25.9,57.3,2.279,1,2.235,0.044,22,37,35,1,1,21238,118,0,14-06-24,1,3
157148,it_350317170589794,14-06-24 23:44,19.1751266,72.8564633,49.6,26,58.5,2.28,1,2.237,0.043,22,37,35,1,1,21645,118,0,14-06-24,1,3
157149,it_350317170589794,14-06-24 23:45,19.17512,72.8564533,49.6,25.9,59.7,2.283,1,2.24,0.043,22,37,35,1,1,22089,118,0,14-06-24,1,3
157150,it_350317170589794,14-06-24 23:46,19.1751233,72.8564416,49.7,26.5,60.9,2.286,1,2.243,0.043,22,37,35,1,1,22533,118,0,14-06-24,1,3
157151,it_350317170589794,14-06-24 23:47,19.1751249,72.8564349,49.8,25.5,62,2.29,1,2.246,0.044,22,37,35,1,1,22940,118,0,14-06-24,1,3
157152,it_350317170589794,14-06-24 23:48,19.1751266,72.8564283,49.8,26.3,63.1,2.289,1,2.249,0.04,22,37,35,1,1,23347,118,0,14-06-24,1,3
157153,it_350317170589794,14-06-24 23:49,19.1751249,72.8564266,49.9,26.2,64.3,2.292,1,2.252,0.04,22,37,35,1,1,23791,118,0,14-06-24,1,3
157154,it_350317170589794,14-06-24 23:50,19.1751316,72.8564166,50,25.6,65.4,2.3,1,2.256,0.044,22,37,35,1,1,24198,118,0,14-06-24,1,3
157155,it_350317170589794,14-06-24 23:51,19.1751133,72.8564466,50,24.6,66.6,2.302,1,2.258,0.044,22,37,35,1,1,24679,118,0,14-06-24,1,3
157156,it_350317170589794,14-06-24 23:52,19.1751249,72.8564516,50.1,26.1,67.8,2.302,1,2.262,0.04,22,37,35,1,1,25086,118,0,14-06-24,1,3
157157,it_350317170589794,14-06-24 23:53,19.1751283,72.8564533,50.2,25.3,68.9,2.309,1,2.266,0.043,22,37,35,1,1,25530,118,0,14-06-24,1,3
157158,it_350317170589794,14-06-24 23:54,19.1751249,72.85645,50.3,25.5,70.1,2.315,1,2.269,0.046,22,37,35,1,1,25937,118,0,14-06-24,1,3
157159,it_350317170589794,14-06-24 23:55,19.1751249,72.856455,50.4,26,71.2,2.318,1,2.273,0.045,22,37,35,1,1,26344,118,0,14-06-24,1,3
157160,it_350317170589794,14-06-24 23:56,19.1751316,72.856455,50.5,25.4,72.4,2.323,1,2.277,0.046,22,37,35,1,1,26788,118,0,14-06-24,1,3
157161,it_350317170589794,14-06-24 23:57,19.1751133,72.8564816,50.5,25.1,73.4,2.324,1,2.28,0.044,22,37,35,1,1,27158,118,0,14-06-24,0.833333333,3
157162,it_350317170589794,14-06-24 23:57,19.17511,72.8565033,50.5,26.3,73.5,2.325,1,2.282,0.043,22,37,35,1,1,27195,118,0,14-06-24,0.166666667,3
157163,it_350317170589794,14-06-24 23:58,19.1751066,72.85653,50.6,25.4,74.7,2.328,1,2.285,0.043,22,37,35,1,1,27639,118,0,14-06-24,1,3
157184,it_350317170589794,15-06-24 00:03,19.180115,72.8583549,49.8,14,73.4,2.272,1,2.252,0.02,22,37,35,1,1,27158,118,0,15-06-24,4.966666667,3
157189,it_350317170589794,15-06-24 00:04,19.1803233,72.8583483,49.6,5,72.9,2.261,9,2.248,0.013,22,37,35,1,1,26973,118,0,15-06-24,1.083333333,3
157194,it_350317170589794,15-06-24 00:06,19.1797683,72.8602183,49.6,7.2,72.6,2.264,8,2.249,0.015,22,37,35,1,1,26862,118,0,15-06-24,1.666666667,3
157195,it_350317170589794,15-06-24 00:06,19.1796783,72.8607283,49.5,3.2,72.6,2.258,9,2.247,0.011,22,37,35,1,1,26862,118,0,15-06-24,0.166666667,3
157205,it_350317170589794,15-06-24 00:08,19.1825466,72.862645,49.6,10,71.1,2.264,1,2.245,0.019,22,37,35,1,1,26307,118,0,15-06-24,1.666666667,3
157232,it_350317170589794,15-06-24 00:26,19.1827366,72.8639666,49.2,2.8,71,2.248,9,2.228,0.02,1,37,35,1,1,26270,118,0,15-06-24,18.31666667,4
157235,it_350317170589794,15-06-24 00:27,19.182965,72.8638616,49.5,7.2,70.8,2.258,1,2.242,0.016,22,37,35,1,1,26196,118,0,15-06-24,0.5,4
157240,it_350317170589794,15-06-24 00:28,19.1826833,72.8638783,49.4,8.4,70.6,2.256,8,2.24,0.016,22,37,35,1,1,26122,118,0,15-06-24,1.416666667,4
157246,it_350317170589794,15-06-24 00:29,19.1823883,72.8613066,49.4,6.8,69.2,2.252,1,2.236,0.016,22,37,35,1,1,25604,118,0,15-06-24,1,4
157250,it_350317170589794,15-06-24 00:30,19.180555,72.8609449,49.5,9.9,69.1,2.264,8,2.243,0.021,22,37,35,1,1,25567,118,0,15-06-24,0.666666667,4
157257,it_350317170589794,15-06-24 00:31,19.1791083,72.8635433,49.5,15.6,68.4,2.266,1,2.239,0.027,22,37,35,1,1,25308,118,0,15-06-24,1.166666667,4
157270,it_350317170589794,15-06-24 00:38,19.180835,72.8648333,49.2,3.1,67.9,2.242,8,2.226,0.016,1,37,35,1,1,25123,118,0,15-06-24,7.35,4
157271,it_350317170589794,15-06-24 00:39,19.181305,72.86417,49.4,18.1,67.8,2.268,1,2.236,0.032,22,37,35,1,1,25086,118,0,15-06-24,0.166666667,4
157751,it_350317170589794,15-06-24 08:31,19.1826449,72.8640116,49,7.9,66.7,2.235,7,2.222,0.013,22,33,31,1,1,24679,118,0,15-06-24,472.6166667,5
157757,it_350317170589794,15-06-24 08:32,19.1824116,72.8614533,49.1,13.8,65.3,2.246,1,2.221,0.025,22,33,31,1,1,24161,118,0,15-06-24,1,5
157759,it_350317170589794,15-06-24 08:33,19.1800116,72.860885,49,6,65.3,2.235,1,2.222,0.013,22,33,31,1,1,24161,118,0,15-06-24,0.7,5
157762,it_350317170589794,15-06-24 08:33,19.1797149,72.860165,48.9,4.2,65.2,2.229,7,2.217,0.012,22,33,31,1,1,24124,118,0,15-06-24,0.5,5
157770,it_350317170589794,15-06-24 08:35,19.1797166,72.8601116,49,6.1,64.9,2.233,7,2.22,0.013,22,33,31,1,1,24013,118,0,15-06-24,1.333333333,5
157771,it_350317170589794,15-06-24 08:35,19.1796866,72.8604883,49,6,64.9,2.234,7,2.221,0.013,22,33,31,1,1,24013,118,0,15-06-24,0.166666667,5
157778,it_350317170589794,15-06-24 08:36,19.1795249,72.861345,49,8.2,64.4,2.236,1,2.219,0.017,22,33,31,1,1,23828,118,0,15-06-24,1.166666667,5
157779,it_350317170589794,15-06-24 08:36,19.1796366,72.8607683,49,9.7,64.4,2.242,1,2.223,0.019,22,33,31,1,1,23828,118,0,15-06-24,0.166666667,5
157782,it_350317170589794,15-06-24 08:37,19.17992,72.8593766,48.8,10.3,63.9,2.229,1,2.213,0.016,22,33,31,1,1,23643,118,0,15-06-24,0.5,5
